zip_code,median_household_income_acs2019,derived_income_quartile
02452,90755,4
02453,86787,4
02458,117137,4
02459,195336,4
02460,126659,4
02461,164583,4
02462,115556,4
02464,122098,4
02465,157563,4
02466,121037,4
02467,132399,4
02468,241190,4
02472,101397,4
02474,112150,4
02476,102214,4
02478,129309,4
02481,223917,4
02482,168361,4
02492,168542,4
02493,207702,4
02494,133375,4
02532,70068,3
02534,92824,4
02535,96061,4
02536,72489,3
02537,109707,4
02538,69327,3
02539,78902,3
02540,78603,3
02542,53031,2
02543,99444,4
02554,107683,4
02556,96645,4
02557,75294,3
02558,45326,1
02559,73491,3
02561,86422,4
02562,103306,4
02563,93306,4
02564,112647,4
02568,51456,2
02571,63805,3
02575,95351,4
02576,80473,3
02601,54414,2
02630,115129,4
02631,75286,3
02632,86356,4
02633,83625,4
02635,68590,3
02637,188021,4
02638,83632,4
02639,52719,2
02641,62888,3
02642,71981,3
02644,98182,4
02645,78689,3
02646,67773,3
02647,77344,3
02648,87060,4
02649,77019,3
02650,91174,4
02652,70921,3
02653,73819,3
02655,83750,4
02657,59063,2
02659,70694,3
02660,61694,3
02663,64464,3
02664,60432,2
02666,67526,3
02667,75096,3
02668,100379,4
02670,65486,3
02671,75417,3
02672,76417,3
02673,63980,3
02675,74654,3
02702,95927,4
02703,74962,3
02715,101216,4
02717,85139,4
02718,93184,4
02719,67394,3
02720,51790,2
02721,40173,1
02723,40318,1
02724,39942,1
02725,87458,4
02726,83346,4
02738,81928,3
02739,94360,4
02740,42314,1
02743,80221,3
02744,44252,1
02745,61267,3
02746,35018,1
02747,82963,4
02748,87326,4
02760,90558,4
02762,96066,4
02763,126339,4
02764,79725,3
02766,111042,4
02767,101826,4
02769,116585,4
02770,103459,4
02771,90078,4
02777,86637,4
02779,103182,4
02780,58546,2
02790,80430,3
02791,68913,3
02802,69321,3
02804,108672,4
02806,125125,4
02807,59423,2
02808,74500,3
02809,72422,3
02812,113221,4
02813,78209,3
02814,89531,4
02815,194450,4
02816,72471,3
02817,119688,4
02818,102621,4
02822,83024,4
02825,87829,4
02826,91964,4
02827,82946,4
02828,86772,4
02830,84970,4
02831,95000,4
02832,80128,3
02833,88902,4
02835,111110,4
02837,89353,4
02838,62697,3
02839,68258,3
02840,66805,3
02842,74022,3
02852,86625,4
02857,96004,4
02859,87363,4
02860,43586,1
02861,64833,3
02863,32928,1
02864,91806,4
02865,92742,4
02871,102392,4
02873,108750,4
02874,135514,4
02875,160278,4
02878,75295,3
02879,89288,4
02881,79111,3
02882,83600,4
02885,60486,2
02886,69646,3
02888,75011,3
02889,77783,3
02891,70358,3
02892,111895,4
02893,55106,2
02894,70587,3
02895,42595,1
02896,80885,3
02898,77917,3
02903,36347,1
02904,44269,1
02905,47942,1
02906,85270,4
02907,39877,1
02908,51981,2
02909,42041,1
02910,73717,3
02911,60902,2
02914,51199,2
02915,64495,3
02916,80701,3
02917,83516,4
02919,65125,3
02920,63523,3
02921,102917,4
03031,139421,4
03032,115089,4
03033,141875,4
03034,100904,4
03036,139688,4
03037,108173,4
03038,75792,3
03042,76071,3
03043,99688,4
03044,110344,4
03045,90173,4
03046,121500,4
03047,79107,3
03048,79600,3
03049,135565,4
03051,104472,4
03052,112500,4
03053,109254,4
03054,106957,4
03055,79235,3
03057,118750,4
03060,51979,2
03062,94935,4
03063,88188,4
03064,68333,3
03070,120300,4
03071,81029,3
03076,106686,4
03077,76133,3
03079,86587,4
03082,92986,4
03084,84583,4
03086,80226,3
03087,148459,4
03101,32607,1
03102,57461,2
03103,58115,2
03104,64909,3
03106,84691,4
03109,80253,3
03110,135021,4
03215,105000,4
03216,76618,3
03217,46184,1
03218,59417,2
03220,71541,3
03221,66528,3
03222,64167,3
03223,60625,2
03224,85625,4
03225,75536,3
03226,76528,3
03227,82875,4
03229,88854,4
03230,63083,3
03231,81667,3
03234,78622,3
03235,52860,2
03237,76450,3
03240,61429,3
03241,66250,3
03242,79867,3
03243,80292,3
03244,80174,3
03245,62589,3
03246,57771,2
03249,84500,4
03251,52857,2
03253,63359,3
03254,71429,3
03255,101528,4
03256,68438,3
03257,91471,4
03258,95114,4
03259,56944,2
03260,101875,4
03261,90605,4
03262,57463,2
03263,55594,2
03264,54856,2
03266,54904,2
03268,83594,4
03269,89097,4
03273,108750,4
03275,75420,3
03276,56685,2
03278,75938,3
03279,48750,2
03280,78224,3
03281,94181,4
03282,67292,3
03284,76932,3
03285,67277,3
03287,85000,4
03290,97216,4
03301,65663,3
03303,74000,3
03304,122034,4
03307,72311,3
03431,56872,2
03440,76500,3
03441,34028,1
03442,60000,2
03443,71206,3
03444,83958,4
03445,72375,3
03446,71522,3
03447,62500,3
03448,70417,3
03449,69297,3
03450,76806,3
03451,63669,3
03452,63739,3
03455,71136,3
03456,65893,3
03457,82500,4
03458,85000,4
03461,81737,3
03462,111750,4
03464,75455,3
03465,58021,2
03466,92472,4
03467,89583,4
03470,54097,2
03561,40259,1
03570,39130,1
03574,55556,2
03576,43814,1
03579,50250,2
03580,74375,3
03581,59290,2
03582,45492,1
03583,55625,2
03584,55167,2
03585,58696,2
03586,87857,4
03588,60000,2
03590,37500,1
03592,44611,1
03593,84000,4
03595,63229,3
